experiment,run_id,script,graph_tag,graph_type,num_nodes,num_edges_physical,num_edges_message_passing,seed,epochs,lr,hidden_dim,d_model,num_heads,num_layers,ff_dim,dropout,max_dist,max_degree,split_t,num_timesteps,num_features,X_shape,Y_shape,pos_weight,last_test_acc,best_test_acc,final_train_loss,final_avg_train_loss,final_logged_epoch,run_path
baseline,20260405_140931,train_baseline_v1.py,N20_tiered_scale_free,tiered_scale_free,20,33,66,1,200,0.05,,,,,,,,,139,199,3,"[199, 20, 3]","[199, 20]",0.26469653844833374,0.8949999809265137,0.8949999809265137,0.17518582940101624,,200,runs/baseline/20260405_140931
baseline,20260405_141310,train_baseline_v1.py,N20_tiered_scale_free,tiered_scale_free,20,35,70,2,200,0.05,,,,,,,,,139,199,3,"[199, 20, 3]","[199, 20]",0.2797427773475647,0.824999988079071,0.824999988079071,0.1570591777563095,,200,runs/baseline/20260405_141310
baseline,20260405_141650,train_baseline_v1.py,N20_tiered_scale_free,tiered_scale_free,20,33,66,3,200,0.05,,,,,,,,,139,199,3,"[199, 20, 3]","[199, 20]",0.294730007648468,0.871666669845581,0.871666669845581,0.18787771463394165,,200,runs/baseline/20260405_141650
baseline,20260405_142030,train_baseline_v1.py,N40_tiered_scale_free,tiered_scale_free,40,75,150,1,200,0.05,,,,,,,,,139,199,3,"[199, 40, 3]","[199, 40]",0.2433614432811737,0.856249988079071,0.856249988079071,0.14968831837177277,,200,runs/baseline/20260405_142030
baseline,20260405_142422,train_baseline_v1.py,N40_tiered_scale_free,tiered_scale_free,40,78,156,2,200,0.05,,,,,,,,,139,199,3,"[199, 40, 3]","[199, 40]",0.29136922955513,0.8229166865348816,0.8229166865348816,0.1810845583677292,,200,runs/baseline/20260405_142422
baseline,20260405_142818,train_baseline_v1.py,N40_tiered_scale_free,tiered_scale_free,40,69,138,3,200,0.05,,,,,,,,,139,199,3,"[199, 40, 3]","[199, 40]",0.3105037808418274,0.8575000166893005,0.8575000166893005,0.1982835978269577,,200,runs/baseline/20260405_142818
gcn,20260405_140933,train_gcn_v2.py,N20_tiered_scale_free,tiered_scale_free,20,33,66,1,300,0.01,16,,,,,,,,139,199,3,"[199, 20, 3]","[199, 20]",0.26469653844833374,0.8408333333333333,0.8408333333333333,,0.2171617961026353,300,runs/gcn/20260405_140933
gcn,20260405_141311,train_gcn_v2.py,N20_tiered_scale_free,tiered_scale_free,20,35,70,2,300,0.01,16,,,,,,,,139,199,3,"[199, 20, 3]","[199, 20]",0.2797427773475647,0.7466666666666667,0.755,,0.19784192614954152,300,runs/gcn/20260405_141311
gcn,20260405_141652,train_gcn_v2.py,N20_tiered_scale_free,tiered_scale_free,20,33,66,3,300,0.01,16,,,,,,,,139,199,3,"[199, 20, 3]","[199, 20]",0.294730007648468,0.7933333333333333,0.7933333333333333,,0.23230753587089853,300,runs/gcn/20260405_141652
gcn,20260405_142032,train_gcn_v2.py,N40_tiered_scale_free,tiered_scale_free,40,75,150,1,300,0.01,16,,,,,,,,139,199,3,"[199, 40, 3]","[199, 40]",0.2433614432811737,0.79,0.79,,0.1834814476398684,300,runs/gcn/20260405_142032
gcn,20260405_142423,train_gcn_v2.py,N40_tiered_scale_free,tiered_scale_free,40,78,156,2,300,0.01,16,,,,,,,,139,199,3,"[199, 40, 3]","[199, 40]",0.29136922955513,0.76,0.7683333333333333,,0.2274968846560382,300,runs/gcn/20260405_142423
gcn,20260405_142819,train_gcn_v2.py,N40_tiered_scale_free,tiered_scale_free,40,69,138,3,300,0.01,16,,,,,,,,139,199,3,"[199, 40, 3]","[199, 40]",0.3105037808418274,0.7929166666666667,0.79875,,0.23927057561256904,300,runs/gcn/20260405_142819
graph_transformer,20260405_140943,train_graph_transformer_v1.py,N20_tiered_scale_free,tiered_scale_free,20,33,66,1,300,0.005,,32,4,2,64,0.1,,,139,199,3,"[199, 20, 3]","[199, 20]",0.26469653844833374,0.895,0.895,,0.17513980322497355,300,runs/graph_transformer/20260405_140943
graph_transformer,20260405_141322,train_graph_transformer_v1.py,N20_tiered_scale_free,tiered_scale_free,20,35,70,2,300,0.005,,32,4,2,64,0.1,,,139,199,3,"[199, 20, 3]","[199, 20]",0.2797427773475647,0.825,0.825,,0.1563258424883695,300,runs/graph_transformer/20260405_141322
graph_transformer,20260405_141703,train_graph_transformer_v1.py,N20_tiered_scale_free,tiered_scale_free,20,33,66,3,300,0.005,,32,4,2,64,0.1,,,139,199,3,"[199, 20, 3]","[199, 20]",0.294730007648468,0.8708333333333333,0.8716666666666667,,0.1817165942822429,300,runs/graph_transformer/20260405_141703
graph_transformer,20260405_142043,train_graph_transformer_v1.py,N40_tiered_scale_free,tiered_scale_free,40,75,150,1,300,0.005,,32,4,2,64,0.1,,,139,199,3,"[199, 40, 3]","[199, 40]",0.2433614432811737,0.85625,0.8804166666666666,,0.1508863643347788,300,runs/graph_transformer/20260405_142043
graph_transformer,20260405_142434,train_graph_transformer_v1.py,N40_tiered_scale_free,tiered_scale_free,40,78,156,2,300,0.005,,32,4,2,64,0.1,,,139,199,3,"[199, 40, 3]","[199, 40]",0.29136922955513,0.81875,0.82,,0.17764002347378421,300,runs/graph_transformer/20260405_142434
