graph_target_name,graph_target_desc,model_family,graph_tag,num_nodes,seeds,mean_best_test_mae,std_best_test_mae,mean_percent_best_test_error,std_percent_best_test_error,mean_best_epoch
component_fraction,Number of weakly connected healthy components divided by N at t+5,baseline,N20_tiered_scale_free,20,3,0.034070626522103936,0.012574518284527214,51.23442553285216,17.79205985392656,300.0
component_fraction,Number of weakly connected healthy components divided by N at t+5,gcn,N20_tiered_scale_free,20,3,0.02857251216967897,0.013882417696168908,43.46172717484325,22.242294523275234,300.0
component_fraction,Number of weakly connected healthy components divided by N at t+5,graph_transformer,N20_tiered_scale_free,20,3,0.0246173152700066,0.009461078231398943,36.50637793697217,10.936099107570557,300.0
component_fraction,Number of weakly connected healthy components divided by N at t+5,graphormer,N20_tiered_scale_free,20,3,0.023008050086597565,0.01473172663359217,33.809729434030764,21.90565433903918,300.0
component_fraction,Number of weakly connected healthy components divided by N at t+5,baseline,N40_tiered_scale_free,40,3,0.06687078873316443,0.02969810711396454,159.1685555419845,47.57212385575225,300.0
component_fraction,Number of weakly connected healthy components divided by N at t+5,gcn,N40_tiered_scale_free,40,3,0.026198333129286735,0.0028269306005194827,65.2340129736499,11.209732242930322,300.0
component_fraction,Number of weakly connected healthy components divided by N at t+5,graph_transformer,N40_tiered_scale_free,40,3,0.019907719766100198,0.0017663479343090552,49.75172820303047,10.150984774685835,300.0
component_fraction,Number of weakly connected healthy components divided by N at t+5,graphormer,N40_tiered_scale_free,40,3,0.0190573120489716,0.006268572162363416,45.85224622173235,8.101847973184848,300.0
diameter_fraction,Diameter of the largest healthy component divided by (N-1) at t+5,baseline,N20_tiered_scale_free,20,3,0.054115934918324136,0.015488648964572534,20.45105609371497,6.6264204207073485,300.0
diameter_fraction,Diameter of the largest healthy component divided by (N-1) at t+5,gcn,N20_tiered_scale_free,20,3,0.037727566435933065,0.009486608832372487,14.068179529094266,2.946013423575066,300.0
diameter_fraction,Diameter of the largest healthy component divided by (N-1) at t+5,graph_transformer,N20_tiered_scale_free,20,3,0.035708095878362635,0.009099281136544022,13.32261646213288,2.870404494817965,300.0
diameter_fraction,Diameter of the largest healthy component divided by (N-1) at t+5,graphormer,N20_tiered_scale_free,20,3,0.0386276779075463,0.007926282623927595,14.470852159369246,2.7107886247538993,300.0
diameter_fraction,Diameter of the largest healthy component divided by (N-1) at t+5,baseline,N40_tiered_scale_free,40,3,0.0757473011811574,0.027385747684026924,48.7727970928374,15.654513474987,300.0
diameter_fraction,Diameter of the largest healthy component divided by (N-1) at t+5,gcn,N40_tiered_scale_free,40,3,0.026945132762193635,0.006276927238650569,17.457288112103146,3.563313045226627,300.0
