target,num_nodes,model_family,mean_best_test_mae,std_best_test_mae,mean_best_test_pct_error
component_fraction,20,baseline,0.034070626522103936,0.012574518284527214,51.23442553285216
component_fraction,20,gcn,0.02857251216967897,0.013882417696168908,43.46172717484325
component_fraction,20,graph_transformer,0.0246173152700066,0.009461078231398943,36.50637793697217
component_fraction,20,graphormer,0.023008050086597565,0.01473172663359217,33.809729434030764
component_fraction,40,baseline,0.06687078873316443,0.02969810711396454,159.1685555419845
component_fraction,40,gcn,0.026198333129286735,0.0028269306005194827,65.2340129736499
component_fraction,40,graph_transformer,0.019907719766100198,0.0017663479343090552,49.75172820303047
component_fraction,40,graphormer,0.0190573120489716,0.006268572162363416,45.85224622173235
diameter_fraction,20,baseline,0.054115934918324136,0.015488648964572534,20.45105609371497
diameter_fraction,20,gcn,0.037727566435933065,0.009486608832372487,14.068179529094266
diameter_fraction,20,graph_transformer,0.035708095878362635,0.009099281136544022,13.32261646213288
diameter_fraction,20,graphormer,0.0386276779075463,0.007926282623927595,14.470852159369246
diameter_fraction,40,baseline,0.0757473011811574,0.027385747684026924,48.7727970928374
diameter_fraction,40,gcn,0.026945132762193635,0.006276927238650569,17.457288112103146
diameter_fraction,40,graph_transformer,0.019113861645261434,0.0007700581806075413,12.45637912770308
diameter_fraction,40,graphormer,0.020218186701337435,0.0008780038105449639,13.182111624734212
edge_survival_ratio,20,baseline,0.19345564643541965,0.08615902616337226,35.01882182200605
edge_survival_ratio,20,gcn,0.16690650333960846,0.05823010964488149,29.588082557268404
edge_survival_ratio,20,graph_transformer,0.15833302587270734,0.05953742912925489,28.131776160033684
edge_survival_ratio,20,graphormer,0.16059385488430652,0.05742667881331345,28.499034864591312
edge_survival_ratio,40,baseline,0.17122061550617218,0.05154919441563669,28.591191887213046
edge_survival_ratio,40,gcn,0.14331189543008796,0.036402837068768706,23.699539934455775
edge_survival_ratio,40,graph_transformer,0.13687316824992493,0.034252011729214604,22.60526898071169
edge_survival_ratio,40,graphormer,0.1345388665795326,0.03147246709539784,22.220673169448332
lcc_fraction,20,baseline,0.16028364002704618,0.08003377790875198,23.05026720943508
lcc_fraction,20,gcn,0.12774822364250812,0.04632707723368973,18.050476158970138
lcc_fraction,20,graph_transformer,0.1182396238048871,0.04247459154650884,16.675837385614773
lcc_fraction,20,graphormer,0.11078721160689986,0.037172862991781984,15.549664685958085
lcc_fraction,40,baseline,0.14188169191280997,0.05507938340303044,19.122077415122135
lcc_fraction,40,gcn,0.10188851008812583,0.014932623831487824,13.630082211538605
lcc_fraction,40,graph_transformer,0.10205965364972748,0.015041328758165738,13.652615097079318
lcc_fraction,40,graphormer,0.10046166429917014,0.010668576636655682,13.422772272063428
lcc_trajectory,20,baseline,0.13436268766721088,0.05889822957279996,18.988153237922266
lcc_trajectory,20,gcn,0.11521970232327777,0.05123876186479617,16.29593612999145
lcc_trajectory,20,graph_transformer,0.10068513204654055,0.039151479765087656,14.140835844037868
lcc_trajectory,20,graphormer,0.10061456759770708,0.030102557660228003,13.992468965979633
lcc_trajectory,40,baseline,0.13849406192700062,0.04019740752442054,18.58459169022567
lcc_trajectory,40,gcn,0.10295019547144567,0.021964511083900833,13.760310041353572
lcc_trajectory,40,graph_transformer,0.08898004144430156,0.011489563591222844,11.882110485206868
lcc_trajectory,40,graphormer,0.09170335779587424,0.014962315455020038,12.22719978153799
