target,num_nodes,model_family,mean_best_test_mae,std_best_test_mae,mean_best_test_pct_error
component_fraction,20,baseline,0.034,0.013,51.2
component_fraction,20,gcn,0.029,0.014,43.5
component_fraction,20,graph_transformer,0.025,0.009,36.5
component_fraction,20,graphormer,0.023,0.015,33.8
component_fraction,40,baseline,0.067,0.030,159.2
component_fraction,40,gcn,0.026,0.003,65.2
component_fraction,40,graph_transformer,0.020,0.002,49.8
component_fraction,40,graphormer,0.019,0.006,45.9
diameter_fraction,20,baseline,0.054,0.015,20.5
diameter_fraction,20,gcn,0.038,0.009,14.1
diameter_fraction,20,graph_transformer,0.036,0.009,13.3
diameter_fraction,20,graphormer,0.039,0.008,14.5
diameter_fraction,40,baseline,0.076,0.027,48.8
diameter_fraction,40,gcn,0.027,0.006,17.5
diameter_fraction,40,graph_transformer,0.019,0.001,12.5
diameter_fraction,40,graphormer,0.020,0.001,13.2
edge_survival_ratio,20,baseline,0.193,0.086,35.0
edge_survival_ratio,20,gcn,0.167,0.058,29.6
edge_survival_ratio,20,graph_transformer,0.158,0.060,28.1
edge_survival_ratio,20,graphormer,0.161,0.057,28.5
edge_survival_ratio,40,baseline,0.171,0.052,28.6
edge_survival_ratio,40,gcn,0.143,0.036,23.7
edge_survival_ratio,40,graph_transformer,0.137,0.034,22.6
edge_survival_ratio,40,graphormer,0.135,0.031,22.2
lcc_fraction,20,baseline,0.160,0.080,23.1
lcc_fraction,20,gcn,0.128,0.046,18.1
lcc_fraction,20,graph_transformer,0.118,0.042,16.7
lcc_fraction,20,graphormer,0.111,0.037,15.5
lcc_fraction,40,baseline,0.142,0.055,19.1
lcc_fraction,40,gcn,0.102,0.015,13.6
lcc_fraction,40,graph_transformer,0.102,0.015,13.7
lcc_fraction,40,graphormer,0.100,0.011,13.4
lcc_trajectory,20,baseline,0.134,0.059,19.0
lcc_trajectory,20,gcn,0.115,0.051,16.3
lcc_trajectory,20,graph_transformer,0.101,0.039,14.1
lcc_trajectory,20,graphormer,0.101,0.030,14.0
lcc_trajectory,40,baseline,0.138,0.040,18.6
lcc_trajectory,40,gcn,0.103,0.022,13.8
lcc_trajectory,40,graph_transformer,0.089,0.011,11.9
lcc_trajectory,40,graphormer,0.092,0.015,12.2
