target,num_nodes,model_family,best_test_mae,best_test_pct_error
component_fraction,20,baseline,0.030,47.6
component_fraction,20,gcn,0.020,31.3
component_fraction,20,graph_transformer,0.015,23.7
component_fraction,20,graphormer,0.015,22.8
component_fraction,40,baseline,0.039,81.1
component_fraction,40,gcn,0.027,55.8
component_fraction,40,graph_transformer,0.026,54.4
component_fraction,40,graphormer,0.025,52.2
diameter_fraction,20,baseline,0.048,17.2
diameter_fraction,20,gcn,0.045,16.3
diameter_fraction,20,graph_transformer,0.044,15.9
diameter_fraction,20,graphormer,0.045,16.0
diameter_fraction,40,baseline,0.036,23.5
diameter_fraction,40,gcn,0.025,16.7
diameter_fraction,40,graph_transformer,0.025,16.4
diameter_fraction,40,graphormer,0.024,15.9
edge_survival_ratio,20,baseline,0.152,24.0
edge_survival_ratio,20,gcn,0.144,22.6
edge_survival_ratio,20,graph_transformer,0.143,22.5
edge_survival_ratio,20,graphormer,0.143,22.5
edge_survival_ratio,40,baseline,0.142,24.5
edge_survival_ratio,40,gcn,0.158,27.2
edge_survival_ratio,40,graph_transformer,0.139,24.0
edge_survival_ratio,40,graphormer,0.157,27.1
lcc_fraction,20,baseline,0.125,16.4
lcc_fraction,20,gcn,0.124,16.3
lcc_fraction,20,graph_transformer,0.118,15.5
lcc_fraction,20,graphormer,0.115,15.1
lcc_fraction,40,baseline,0.112,15.6
lcc_fraction,40,gcn,0.124,17.2
lcc_fraction,40,graph_transformer,0.117,16.2
lcc_fraction,40,graphormer,0.121,16.8
